title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Utah Facilities Management Department - Janitorial Supply Contract,Utah Facilities Management Department,"Salt Lake City, UT",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Utah Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ut.gov,Facilities Director,facilities@dgs.ut.gov,(UT) State Facilities Office,true,open,11/05/2025
Utah Department of Education - Janitorial Supply Contract,Utah Department of Education,"Salt Lake City, UT",Education,"$1,000,000 - $5,000,000",02/03/2026,"Utah Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ut.gov,Procurement Services,procurement@education.ut.gov,(UT) DOE Procurement,true,open,11/05/2025
Utah University System - Janitorial Supply Contract,Utah University System,"Salt Lake City, UT",Education,"$500,000 - $2,000,000",02/03/2026,Utah government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.utah.gov,Procurement Office,procurement@ut.gov,(UT) State Procurement,true,open,11/05/2025
Utah Healthcare Network - Janitorial Supply Contract,Utah Healthcare Network,"Salt Lake City, UT",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Utah healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.utahhealthnetwork.org,Supply Chain Director,procurement@utahhealth.org,(UT) Healthcare Procurement,true,open,11/05/2025
Utah Hospitality Group - Janitorial Supply Contract,Utah Hospitality Group,"Salt Lake City, UT",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Utah hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.utahhospitalitygroup.com,Procurement Manager,purchasing@utahhotels.com,(UT) Hospitality Purchasing,true,open,11/05/2025
Utah Commercial Properties - Janitorial Supply Contract,Utah Commercial Properties,"Salt Lake City, UT",Real Estate,"$600,000 - $2,000,000",02/03/2026,Utah commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.utahproperties.com,Facilities Management,facilities@utahproperties.com,(UT) Property Management,true,open,11/05/2025
Utah Airport Authority - Janitorial Supply Contract,Utah Airport Authority,"Salt Lake City, UT",Airport,"$750,000 - $2,500,000",02/03/2026,"Utah airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.utahairport.com,Facilities Procurement,procurement@utahairport.com,(UT) Airport Operations,true,open,11/05/2025
Utah Correctional Facilities - Janitorial Supply Contract,Utah Correctional Facilities,"Salt Lake City, UT",Corrections,"$900,000 - $3,000,000",02/03/2026,Utah Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ut.gov,Facilities Procurement,procurement@corrections.ut.gov,(UT) DOC Procurement,true,open,11/05/2025
Utah Port Authority - Janitorial Supply Contract,Utah Port Authority,"Salt Lake City, UT",Port,"$500,000 - $1,800,000",02/03/2026,"Utah port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.utahport.com,Facilities Director,facilities@utahport.com,(UT) Port Operations,true,open,11/05/2025
Utah Senior Living & Care - Janitorial Supply Contract,Utah Senior Living & Care,"Salt Lake City, UT",Senior Care,"$600,000 - $2,000,000",02/03/2026,Utah assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.utahseniorcare.com,Procurement Director,procurement@utahseniorcare.com,(UT) Senior Care Purchasing,true,open,11/05/2025
Utah Retail Chain HQ - Janitorial Supply Contract,Utah Retail Chain HQ,"Salt Lake City, UT",Retail,"$1,200,000 - $4,000,000",02/03/2026,Utah retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.utahretail.com,Corporate Procurement,procurement@utahretail.com,(UT) Retail Procurement,true,open,11/05/2025
Utah Manufacturing Plant - Janitorial Supply Contract,Utah Manufacturing Plant,"Salt Lake City, UT",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Utah manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.utahmanufacturing.com,Operations Manager,operations@utahmfg.com,(UT) Plant Operations,true,open,11/05/2025
Vermont Facilities Management Department - Janitorial Supply Contract,Vermont Facilities Management Department,"Montpelier, VT",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Vermont Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.vt.gov,Facilities Director,facilities@dgs.vt.gov,(VT) State Facilities Office,true,open,11/05/2025
Vermont Department of Education - Janitorial Supply Contract,Vermont Department of Education,"Montpelier, VT",Education,"$1,000,000 - $5,000,000",02/03/2026,"Vermont Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.vt.gov,Procurement Services,procurement@education.vt.gov,(VT) DOE Procurement,true,open,11/05/2025
Vermont University System - Janitorial Supply Contract,Vermont University System,"Montpelier, VT",Education,"$500,000 - $2,000,000",02/03/2026,Vermont government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.vermont.gov,Procurement Office,procurement@vt.gov,(VT) State Procurement,true,open,11/05/2025
Vermont Healthcare Network - Janitorial Supply Contract,Vermont Healthcare Network,"Montpelier, VT",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Vermont healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.vermonthealthnetwork.org,Supply Chain Director,procurement@vermonthealth.org,(VT) Healthcare Procurement,true,open,11/05/2025
Vermont Hospitality Group - Janitorial Supply Contract,Vermont Hospitality Group,"Montpelier, VT",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Vermont hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.vermonthospitalitygroup.com,Procurement Manager,purchasing@vermonthotels.com,(VT) Hospitality Purchasing,true,open,11/05/2025
Vermont Commercial Properties - Janitorial Supply Contract,Vermont Commercial Properties,"Montpelier, VT",Real Estate,"$600,000 - $2,000,000",02/03/2026,Vermont commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.vermontproperties.com,Facilities Management,facilities@vermontproperties.com,(VT) Property Management,true,open,11/05/2025
Vermont Airport Authority - Janitorial Supply Contract,Vermont Airport Authority,"Montpelier, VT",Airport,"$750,000 - $2,500,000",02/03/2026,"Vermont airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.vermontairport.com,Facilities Procurement,procurement@vermontairport.com,(VT) Airport Operations,true,open,11/05/2025
Vermont Correctional Facilities - Janitorial Supply Contract,Vermont Correctional Facilities,"Montpelier, VT",Corrections,"$900,000 - $3,000,000",02/03/2026,Vermont Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.vt.gov,Facilities Procurement,procurement@corrections.vt.gov,(VT) DOC Procurement,true,open,11/05/2025
Vermont Port Authority - Janitorial Supply Contract,Vermont Port Authority,"Montpelier, VT",Port,"$500,000 - $1,800,000",02/03/2026,"Vermont port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.vermontport.com,Facilities Director,facilities@vermontport.com,(VT) Port Operations,true,open,11/05/2025
Vermont Senior Living & Care - Janitorial Supply Contract,Vermont Senior Living & Care,"Montpelier, VT",Senior Care,"$600,000 - $2,000,000",02/03/2026,Vermont assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.vermontseniorcare.com,Procurement Director,procurement@vermontseniorcare.com,(VT) Senior Care Purchasing,true,open,11/05/2025
Vermont Retail Chain HQ - Janitorial Supply Contract,Vermont Retail Chain HQ,"Montpelier, VT",Retail,"$1,200,000 - $4,000,000",02/03/2026,Vermont retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.vermontretail.com,Corporate Procurement,procurement@vermontretail.com,(VT) Retail Procurement,true,open,11/05/2025
Vermont Manufacturing Plant - Janitorial Supply Contract,Vermont Manufacturing Plant,"Montpelier, VT",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Vermont manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.vermontmanufacturing.com,Operations Manager,operations@vermontmfg.com,(VT) Plant Operations,true,open,11/05/2025
Virginia Facilities Management Department - Janitorial Supply Contract,Virginia Facilities Management Department,"Richmond, VA",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Virginia Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.va.gov,Facilities Director,facilities@dgs.va.gov,(VA) State Facilities Office,true,open,11/05/2025
Virginia Department of Education - Janitorial Supply Contract,Virginia Department of Education,"Richmond, VA",Education,"$1,000,000 - $5,000,000",02/03/2026,"Virginia Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.va.gov,Procurement Services,procurement@education.va.gov,(VA) DOE Procurement,true,open,11/05/2025
Virginia University System - Janitorial Supply Contract,Virginia University System,"Richmond, VA",Education,"$500,000 - $2,000,000",02/03/2026,Virginia government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.virginia.gov,Procurement Office,procurement@va.gov,(VA) State Procurement,true,open,11/05/2025
Virginia Healthcare Network - Janitorial Supply Contract,Virginia Healthcare Network,"Richmond, VA",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Virginia healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.virginiahealthnetwork.org,Supply Chain Director,procurement@virginiahealth.org,(VA) Healthcare Procurement,true,open,11/05/2025
Virginia Hospitality Group - Janitorial Supply Contract,Virginia Hospitality Group,"Richmond, VA",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Virginia hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.virginiahospitalitygroup.com,Procurement Manager,purchasing@virginiahotels.com,(VA) Hospitality Purchasing,true,open,11/05/2025
Virginia Commercial Properties - Janitorial Supply Contract,Virginia Commercial Properties,"Richmond, VA",Real Estate,"$600,000 - $2,000,000",02/03/2026,Virginia commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.virginiaproperties.com,Facilities Management,facilities@virginiaproperties.com,(VA) Property Management,true,open,11/05/2025
